english_source|lambani_target|lambani_predicted|kannada_sentence
i have exam tomorrow .|ಮಾರ್ ಸವಾರ್ ಪರೀಕ್ಷಾ ಚ.|ಮಾರ್ ಸವಾರ್ ಪರೀಕ್ಷಾ ಚ.|ನನಗೆ ನಾಳೆ ಪರೀಕ್ಷೆ ಇದೆ .
the weather became warm .|ಹವಾಮಾನ ಗರಮ್ ವೇಗೋಚ|ಹವಾಮಾನ ಗರಮ್ ವೆತ್ತೋ.|ಹವಾಮಾನವು ಬೆಚ್ಚಗಾಯಿತು .
samu wants to play|ಸಮು ರಮ್ಮೆನ ಚಾವಚ.|ಸಮು ನ ರಮ್ಮೆರ್ ಚಾವಚ|ಸಮು ಆಡಲು ಬಯಸುತ್ತಾನೆ
i need to eat .|ಮನ್ ಖಾಯೆರ್ ಚ.|ಮ ಖಾಣು.|ನಾನು ತಿನ್ನಬೇಕು .
what a good idea .|ಕತ್ರಾ ಆಚೊ ವಿಚಾರ ಚ|ಕಾಂಯಿ ಆಚೊ ವಿಚಾರ್ ಚ.|ಎಂತಹ ಒಳ್ಳೆಯ ಉಪಾಯ .
no one will know .|ಕೇನಿ ಮಾಲಮ್ ವೇನಿ.|ಕೊಯಿ ಮಾಲಮ್ ಛೆನಿ.|ಯಾರಿಗೂ ತಿಳಿಯುವುದಿಲ್ಲ .
he is a bad teacher|ವು ಮಾಂದೊ ಗುರು ಚ.|ವು ಠೀಕ ಮಾಸ್ತರ್ ಚ.|ಅವನೊಬ್ಬ ಕೆಟ್ಟ ಶಿಕ್ಷಕ
what is he doing ?|ವು ಕಾಂಯಿ ಕರರೋಚ?|ವು ಕಾಂಯಿ ಕರ್ರೋಚ?|ಅವನು ಏನು ಮಾಡುತ್ತಿದ್ದಾನೆ ?
it is raining outside|ಭಾರ ಪಾಣಿ ಪಡರೋಚ.|ಭಾರ ಪಾಣಿ ಪಡ್ರೋಚ.|ಹೊರಗೆ ಮಳೆ ಬರುತ್ತಿದೆ
samu is a student|ಸಮು ಏಕ್ ವಿದ್ಯಾರ್ಥಿ ಚ.|ಸಮು ಏಕ್ ವಿದ್ಯಾರ್ಥಿ ಚ.|ಸಮು ಒಬ್ಬ ವಿದ್ಯಾರ್ಥಿ
what do you mean ?|ತಾರ ಮತಲಬ್ ಕಾಂಯಿ?|ತಾರ್ ಮತಲಬ್ ಕಾಂಯಿ ಚ?|ನಿನ್ನ ಮಾತಿನ ಅರ್ಥವೇನು ?
i am feeling better ?|ಮನ್ ಠೀಕ್ ಲಾಗರೋಚ.|ಮನ್ ಠೀಕ ಲಾಗರೋಚ.|ನಾನು ಉತ್ತಮ ಭಾವನೆ ಹೊಂದಿದ್ದೇನೆ ?
samu is having fun|ಸಮು ಮಜಾ ಕರರೋಚ|ಸಮು ಪಿಚ್ಚರ ಮಜಾ ಕರರೋಚ|ಸಮು ಮೋಜು ಮಾಡುತ್ತಿದ್ದಾನೆ
will you meet me ?|ತು ಮನ ಭಳೆಚಿ ಕ?|ತಮ್ ಮನ್ ಭಳೋಚೊ ಕ?|ನೀವು ನನ್ನನ್ನು ಭೇಟಿ ಮಾಡುತ್ತೀರಾ ?
my daughter is here .|ಮಾರ್ ಬೇಟಿ ಅತ ಚ.|ಮಾರ್ ಬೇಟಿ ಅತ ಚ.|ನನ್ನ ಮಗಳು ಇಲ್ಲಿದ್ದಾಳೆ .
do not talk nonsense|ಬೆಕಾರ್ ವಾತೆ ಮತ್ ಕರೋ.|ಹೊಲಸ ವಾತೆ ಕರ ಮತ|ಅಸಂಬದ್ಧವಾಗಿ ಮಾತನಾಡಬೇಡಿ
she brought a plant .|ವು ಏಕ ಝಾಡ ಲಾಯಿಚ.|ವು ಏಕ ಝಾಡ ಲಾಯೋಚ|ಅವಳು ಒಂದು ಗಿಡವನ್ನು ತಂದಳು .
the man ate bread|ಮಾಣಸ ಬ್ರೆಡ್ ಖಾದೋ|ಮಾಣಸ್ ಬಾಟಿ ಖಾದೊ|ಮನುಷ್ಯ ರೊಟ್ಟಿ ತಿಂದ
you broke the rule .|ತು ನಿಯಮ ತೊಡೋ.|ತು ನಿಯಮ ಢಿಲ್ ತೊಡೆಚಿ|ನೀವು ನಿಯಮವನ್ನು ಮುರಿದಿದ್ದೀರಿ .
what would i wear ?|ಮ ಕಾಂಯಿ ಪೇರನು?|ಮ ಕಾಂಯಿ ಪೆರಮಲೊಚು|ನಾನು ಏನು ಧರಿಸುತ್ತೇನೆ ?
i had a pen|ಮಾರ ಕನ ಏಕ ಪೆನ್ ವೇತ್ತಿ.|ಮಾರ ಕನ್ನ ಏಕ ಪೆನ್ ಛ.|ನನ್ನ ಬಳಿ ಪೆನ್ ಇತ್ತು
do you eat meat|ತಮ ಬೋಟಿ ಖಾವೊಚೊ ಕ?|ತು ಬೋಟಿ ಖಾಯೆಚಿ ಕ?|ನೀವು ಮಾಂಸ ತಿನ್ನುತ್ತೀರಾ
were you drinking water ?|ತು ಪಾಣಿ ಪಿರೋತೋ ಕ?|ತು ಪಾಣಿ ಪಿರೋಚಿ?|ನೀವು ನೀರು ಕುಡಿಯುತ್ತಿದ್ದೀರಾ ?
they cannot read yet .|ವುನುನ ಅಜಿ ವೊದೇನ ಆಯೆನಿ|ವೊ ಅಬೆ ವೊದೆರ್ ವೇನಿ.|ಅವರು ಇನ್ನೂ ಓದಲು ಸಾಧ್ಯವಿಲ್ಲ .
what does she like ?|ವೊನ ಕಾಂಯಿ ಪಸಂದ್ ಚ ?|ವೊನ ಕಾಂಯಿ ಪಸಂದ್ ಚ?|ಅವಳಿಗೇನು ಇಷ್ಟ ?
are we working tomorrow ?|ಅಪಣ ಸವಾರ್ ಕಾಮ್ ಕರಾಚಾ ಕ?|ಅಪಣ ಸವಾರ ಕಾಮ್ ಕರಾಚಾ ಕ?|ನಾವು ನಾಳೆ ಕೆಲಸ ಮಾಡುತ್ತೇವೆಯೇ ?
i am very tired|ಮನ್ ಘಣ ಧೇರ್ ವೇಗಿಚ.|ಮ ಘಣ ಸುಸ್ತ್ ವೇಗೋಚು.|ನನಗೆ ತುಂಬಾ ಆಯಾಸವಾಗಿದೆ
we saw her yesterday .|ಹಮ್ ವೊನ ಕಾಲೇನ ದಿಟೆ|ಹಮ್ ವೊನ್ ಕಾಲ್ ದಿಟೆ|ನಾವು ನಿನ್ನೆ ಅವಳನ್ನು ನೋಡಿದ್ದೇವೆ .
please tell that again .|ಕೃಪಯಾ ಅಜಿ ಏಕ ಸಲಾ ಕ.|ಕೃಪಯಾ ಅಜಿ ಏಕ್ ಸಲಾ ಕ.|ದಯವಿಟ್ಟು ಅದನ್ನು ಮತ್ತೊಮ್ಮೆ ಹೇಳಿ .
samu is eating fruits|ಸಮು ಫಳ್ ಖಾರೋಚ.|ಸಮು ಫಳ್ ಖಾರೋಚ.|ಸಮು ಹಣ್ಣುಗಳನ್ನು ತಿನ್ನುತ್ತಿದೆ
why are you late ?|ತಮ್ ಕಾ ತಡಾ ಕಿದೆ?|ತೋನ್ ಕಾ ತಡಾ ವೇಗಿಚ ?|ನೀವು ಏಕೆ ತಡ ಮಾಡಿದಿರಿ ?
you do not study .|ತು ಅಭ್ಯಾಸ ಕರ್ ಮತ|ತಮ್ ಅಧ್ಯಯನ್ ಛೆನಿ|ನೀನು ಅಧ್ಯಯನ ಮಾಡಬೇಡ .
samu has a watch|ಸಮು ರ ಕನ್ ಗಡಿಯಾರ ಚ.|ಸಮು ರ ಕನ ಗಡಿಯಾರ ಚ.|samu ಒಂದು ಗಡಿಯಾರವನ್ನು ಹೊಂದಿದೆ
what happened last night ?|ಕಾಲೇನ ರಾತ್ ಕಾಂಯಿ ವೇಗೋಚ ?|ಕಾಲ್ ರಾತ್ ಕಾಯಿ ಯೇಜಿಚ್|ಕಳೆದ ರಾತ್ರಿ ಏನಾಯಿತು ?
i am just saying !|ಮ ಹನುಜ್ ಕೆರೋಚು.|ಮ ಅಭಾಲಿ ವಾತೆ ಕರರೊಚು.|ನಾನು ಸುಮ್ಮನೆ ಹೇಳುತ್ತಿದ್ದೇನೆ !
everyone knew the song .|ಗಿದ್ ಸೆನ್ ಮಾಲಂ ಎತ್ತಿ|ಸೇರಜ್ ಗಿದ್ ಮಾಲಮ್ ಚ.|ಹಾಡು ಎಲ್ಲರಿಗೂ ಗೊತ್ತಿತ್ತು .
never mind their words .|ವೂನೂರ ವಾತೆ ಸಾಮಳೋ ಮತ.|ವೂನೂರ ವಾತೇತಿ ಕಾಂಯಿ ಫರಕ ಪಡೇನಿ.|ಅವರ ಮಾತನ್ನು ಲೆಕ್ಕಿಸಬೇಡಿ  .
i will call you .|ತೋನ ಮ ಫೋನ್ ಲಗಾಡುಚು.|ಮ ತೋನ್ ಫೋನ್ ಕರುಚು.|ನಿನಗೆ ಕರೆಮಾಡುವೆ .
i have to find it|ಮ ವೊನ ಧುನ್ದಣು|ಮ ವೊನ್ ಧೂನ್ದಣು.|ನಾನು ಅದನ್ನು ಕಂಡುಹಿಡಿಯಬೇಕು
i will wait for you|ಮ ತಾರ ವಾಸ ಹುಬರುಚು.|ಮ ತಾರ ವಾಸ ಹುಬರುಚು|ನಾನು ನಿನಗಾಗಿ ಕಾಯುತ್ತೇನೆ
i can help you .|ಮ ತೋನ್ ಸಹಾಯ್ ಕರ್ ಸಕುಚು.|ಮ ತೋನ್ ಸಹಾಯ್ ಕರ್ ಸಕುಚು.|ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಬಹುದು .
go out and play .|ಭಾರ್ ಜಾನ್ ರಮ್ಮ್.|ಭಾರ್ ಜಾನ್ ರಮ್ಮ|ಹೊರಗೆ ಹೋಗಿ ಆಟವಾಡಿ .
you do me wrong .|ತು ಮನ್ ಗಲತ್ ಕರೆಚಿ.|ತು ಮನ್ ಗಲತ್ ಚಿ.|ನೀನು ನನ್ನನ್ನು ತಪ್ಪಿತಸ್ತನನ್ನಾಗಿ ಮಾಡುತ್ತೀಯ . .
do i know him ?|ಮನ್ ಊ ಮಾಲಂ ಛ ಕ?|ಮನ್ ವು ಮಾಲಮ್ ಚ ಕ?|ನಾನು ಅವನನ್ನು ತಿಳಿದಿದ್ದೇನೆಯೇ ?
that is not fair .|ವು ನ್ಯಾಯ ಕಾವ|ವು ಠೀಕ ಕಾವ|ಅದು ನ್ಯಾಯವಲ್ಲ .
she picked up her hat|ವು ವೋರ ಟೋಪಿ ಪಾಡಿ|ವು ವೋರ ಟೋಪಿ ಕಾಡಿಚ.|ಅವಳು ತನ್ನ ಟೋಪಿಯನ್ನು ಎತ್ತಿಕೊಂಡಳು
is the apple red ?|ಸೇಬು ರಾತಡೋಚ ಕಾಯಿ ?|ಸೇಬು ಹಣ್ಣ ರಾತಡೋ ಛ ಕ?|ಸೇಬು ಕೆಂಪಾಗಿದೆಯಾ
my father is busy .|ಮಾರ್ ಬಾಪು ವ್ಯಸ್ಥ ಚ.|ಮಾರ್ ಬಾಪು ವ್ಯಸ್ಥ ಚ.|ನನ್ನ ತಂದೆ ಕಾರ್ಯನಿರತರಾಗಿದ್ದಾರೆ .
i have no idea .|ಮನ್ ಮಾಲಮ್ ಛೆನಿ.|ಮನ್ ಕಾಂಯಿ ಮಾಲಮ್ ಛೆನಿ.|ನನಗೆ ಗೊತ್ತಿಲ್ಲ .
i will come later .|ಮ ಲಾರ್ತಿ ಆವುಂಚು.|ಮ ಲಾರ್ತಿ ಆವುಂಚು.|ನಾನು ನಂತರ ಬರುತ್ತೇನೆ .
what will you do ?|ತು ಕಾಂಯಿ ಕರೆಚಿ?|ತಮ ಕಾಂಯಿ ಕರೋಚೊ?|ನೀನೇನು ಮಡುವೆ ?
i will take it .|ಮ ವೊನ್ ಲುಚು.|ಮ ವೊನ ಲುಚು.|ನಾನು ಅದನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ .
there is a little wind|ದಸೆಕ್ ವಾಳ ಚ|ದಸೆಕ್ ವಾಳ ದಸೆಕ್ ವಾಳ ಚ|ಸ್ವಲ್ಪ ಗಾಳಿ ಇದೆ
bring sweet mangoes|ಮಿಟೋ ಅಂಬಾ ಲಾ|ಮಿಟೋ ಅನ್ನ ಅಂಬಾ ಲಾವೋ.|ಸಿಹಿ ಮಾವಿನ ಹಣ್ಣುಗಳನ್ನು ತನ್ನಿ
it is not a watch|ಈ ಗಡಿಯಾರ ಕಾವ.|ಈ ಗಡಿಯಾರ ಕಾವ.|ಇದು ಗಡಿಯಾರ ಅಲ್ಲ
what is happening here ?|ಅತ್ ಕಾಂಯಿ ವೆರೋಚ?|ಅತ ಕಾಂಯಿ ವೆರೋಚ.|ಇಲ್ಲಿ ಏನಾಗುತ್ತಿದೆ ?
i will not speak .|ಮ ವಾತೆ ಕರುನಿ|ಮ ವಾತೆ ಕರುನಿ|ನಾನು ಮಾತನಾಡುವುದಿಲ್ಲ ಎಂದು ಪತ್ನಿ ಪರೋಕ್ಷವಾಗಿ ಹೇಳಿದರು .  .
we made a mistake|ಹಮ್ ಏಕ ಗಲತಿ ಕಿದೆ|ಹಮ್ ಗಲತಿ ಕಿದೇಚಾ.|ನಾವು ತಪ್ಪು ಮಾಡಿದೆವು
i am eating now .|ಮ ಅಬ್ ಖಾರೊಚು.|ಮ ಅಬ್ ಖಾರೊಚು.|ನಾನು ಈಗ ತಿನ್ನುತ್ತಿದ್ದೇನೆ .
this thing is ours .|ಈ ಸಾಮಾನ್ ಹಮಾರ್ ಛ.|ಈ ವಿಷಯ ಹಮಾರ್ ಚ|ಈ ವಸ್ತು ನಮ್ಮದು .
how are you feeling ?|ತೋನ್ ಠೀಕ್ ಲಾಗರೋಚ?|ತೋನ್ ಕು ಲಾಗರೋಚ?|ನಿಮಗೆ ಹೇಗನಿಸುತ್ತಿದೆ ?
where do you work ?|ತು ಕತ್ ಕಾಮ್ ಕರೆಚಿ?|ತು ಕಾಮ್ ಕತ್ ಕರೆಚಿ?|ನೀನು ಎಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತೀಯ ?
please speak slowly .|ಕೃಪಯಾ ಸಾವಕಾಶ್ ವಾತೆ ಕರೋ.|ಕೃಪಯಾ ಸಾವ್ಕಾಸ್ ವಾತೆ ಕರೋ.|ದಯವಿಟ್ಟು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ .
nobody can leave now .|ಅಬ ಕೊಯಿ ಛೋಡ ಸಕ್ತಾಯೆನಿ.|ಅಬ್ ಕೊಯಿ ಛೋಡುನೀ.|ಈಗ ಯಾರೂ ಬಿಡುವಂತಿಲ್ಲ .
god will bless them|ಭಗವಾನ್ ವನುನ್ ಆಶಿರ್ವಾದ್ ದಚ.|ಭಗವಾನ ವೋರ ಆಶೀರ್ವಾದ ದೇದ.|ದೇವರು ಅವರನ್ನು ಆಶೀರ್ವದಿಸುವನು
i had to work .|ಮನ್ ಕಾಮ್ ಕರೆರ್ ವೇತ್ತಿ.|ಮನ್ ಕಾಮ್ ಕರೆರ್ ಚ.|ನಾನು ಕೆಲಸ ಮಾಡಬೇಕಿತ್ತು .
how is it going ?|ವು ಕು ಚಾಲರಿಚ?|ವು ಕು ಚಾಲರೋಚ?|ಇದು ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ ?
people mostly visit here .|ಲೋಗ ಅತ ಜಾಸ್ತ ಆವಚ.|ಅತ್ತೆರ ಲೋಗ ಅತ ಭಳಚ.|ಜನರು ಹೆಚ್ಚಾಗಿ ಇಲ್ಲಿಗೆ ಭೇಟಿ ನೀಡುತ್ತಾರೆ .
i need these books .|ಮನ್ ಏ ಪುಸ್ತಕ್ ಚಾವಚ.|ಮನ್ ಏ ಪುಸ್ತಕ್ ಚಾಯ.|ನನಗೆ ಈ ಪುಸ್ತಕಗಳು ಬೇಕು .
that will be enough|ಇತ್ರಾ ಧೇರ್ ವಚ.|ವು ಠೀಕ ವಚ|ಅದು ಸಾಕಾಗುತ್ತದೆ
the earth is round|ಜಮಿ ಗೋಲಾಕಾರಚ|ಜಮಿ ಫರಚ|ಭೂಮಿಯು ಗೋಳಾಕಾರವಾಗಿದೆ
leave me in peace|ಮನ ಶಾಂತಿ ತಿ ರೇನ ದೊ.|ಮನ ಶಾಂತ್ ಛೋಡೋ.|ನನ್ನನ್ನು ಸಮಾಧಾನದಿಂದ ಬಿಡಿ
i see a light|ಮ ವಜಾಳೋ ದಿಟೊಚು.|ಮ ದಿವೊ ಲಗಾಡ್.|ನಾನು ಬೆಳಕನ್ನು ನೋಡುತ್ತೇನೆ
please open the window|ಕೃಪಯಾ ಖಿಡಕಿ ಕಾಡೋ.|ಕೃಪಯಾ ಖಿಡಕಿ ಕಾಡ.|ದಯವಿಟ್ಟು ವಿಂಡೋವನ್ನು ತೆರೆಯಿರಿ
see you all later|ತಮೇನ ಸೇನ ಲಾರ್ತಿ ಭಳುಚು.|ತೋನ ಸೇಜ ಲಾರ್ತಿ ಭಳುಚು.|ನಿಮ್ಮೆಲ್ಲರನ್ನೂ ನಂತರ ನೋಡೋಣ
maybe another time .|ಅಜಿ ಏಕ್ ಸಲಾ.|ಬಹುಶಃ ಏತಿ ದೂಸರ್ ಏಕಾದ್ ಸಲಾ ಕ.|ಬಹುಶಃ ಇನ್ನೊಂದು ಬಾರಿ .
the tea is hot|ಚಾ ತಾತೋ ಚ.|ಚಾ ಘಣೋ ತಾತೋ ಚ|ಚಹಾ ಬಿಸಿಯಾಗಿರುತ್ತದೆ
is everything ok ?|ಸೆ ಠೀಕ್ ಛ ಕ?|ಸೆ ಠೀಕ್ ಚ ಕ?|ಎಲ್ಲವೂ ಹೇಗೆ ಸರಿ ?
i still need work|ಮನ ಅಜಿ ಕಾಮ ಚಾವಚ.|ಮನ ಅಜಿ ಕಾಮ ಚಾವಚ.|ನನಗೆ ಇನ್ನೂ ಕೆಲಸ ಬೇಕು
i am not working|ಮ ಕಾಮ್ ಕರರೊಕೊಂತಿ.|ಮ ಕಾಮ ಕರರೊಕೊಂತಿ.|ನಾನು ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ
we want our money|ಹಮೇನ ಹಮಾರ ಪೀಸಾ ಚಾವಚ|ಹಮೇನ ಪೀಸಾ ಚಾವಚ|ನಮಗೆ ನಮ್ಮ ಹಣ ಬೇಕು
do what i say|ಮ ಕು ಜೋಣ ಕರ.|ಮ ಕು ಜು ಕರೋ.|ನಾನು ಹೇಳುವುದನ್ನು ಮಾಡು
his hair turned gold|ವೋರ ಲಟ್ಟಾ ಸೋನೇರ ವೇಗೆ|ವೋರ ಲಟ್ಟಾ ಸೋನೇರ ವೇಗೆ|ಹುಡುಗ ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದರು ಮತ್ತು ಅವನ ಕೂದಲು ಚಿನ್ನದ ತಿರುಗಿತು .
my mother is busy|ಮಾರ ಯಾಡಿ ವ್ಯಸ್ಥ ಚ.|ಮಾರ ಯಾಡಿ ವ್ಯಸ್ಥ ಚ.|ನನ್ನ ತಾಯಿ ಕಾರ್ಯನಿರತರಾಗಿದ್ದಾರೆ
ram gave a speech|ರಾಮ ಭಾಷಣ ದಿನೋ|ರಾಮ ಏಕ ವಾತೆ ಕಿದೋ|ರಾಮ ಭಾಷಣ ಮಾಡಿದರು
are you happy ?|ತು ಖುಷಿತಿ ಛಿ.|ತು ಖುಷಿಮ್ ಚಿ ಕ?|ನೀವು ಸಂತೋಷವಾಗಿದ್ದೀರಾ ?
that is my book|ವು ಮಾರ ಪುಸ್ತಕ್ ಚ.|ವು ಮಾರ ಪುಸ್ತಕ್ ಚ.|ಅದು ನನ್ನ ಪುಸ್ತಕ
do not waste time|ಸಮಯ್ ಹಾಳ್ ಕರೋಮತ್.|ಸಮಯ ಹಾಳ್ ಕರ್ ಮತ್.|ಸಮಯ ವ್ಯರ್ಥ ಮಾಡಬೇಡಿ
i caught a cold|ಮನ ಸಳಕಮ್ ವೇಗೋ|ಮನ್ ಸಳಕಮ ವೇಗಿಚ.|ನನಗೆ ನೆಗಡಿ ಬಂತು
it is too close|ಈ ಘಣ ಕನ್ನ ಚ.|ವು ಘಣ ಕನ್ ಚ|ಇದು ತುಂಬಾ ಹತ್ತಿರದಲ್ಲಿದೆ
my skin itches|ಮಾರ ಜೀವ ಖಜಾರೋಚ|ಮಾರ ಖಾಲ್ಡಿಪರ ಚ.|ನನ್ನ ಚರ್ಮ ತುರಿಸುತ್ತದೆ
i saw him running|ಉ ಧಾಸ್ರೋ ಜಕೋನ್ ಮ ದಿಟೊಚು.|ವು ಭಡಕರೋ ಜೋಣ ಮ ದಿಟೋ.|ಅವನು ಓಡುವುದನ್ನು ನಾನು ನೋಡಿದೆ
my brothers and sisters|ಮಾರ್ ಭಾಯೀಓ ಮಾರ್ ಭೇನೆಓ.|ಮಾರ ಭಾಯಿ ಅನ ಭಾಯೀರ|ನನ್ನ ಸಹೋದರರು ಮತ್ತು ಸಹೋದರಿಯರು
come outside with me|ಮಾರ ಜೋಡೀ ಭಾರ ಆಜೊ.|ಮಾರ ಜೋಡಿ ಭಾರ ಆವೋ.|ನನ್ನ ಜೊತೆ ಹೊರಗೆ ಬಾ
take this thing outside|ಏ ವಿಷಯೇನ ಭಾರ ಲೇಜಾವೋ.|ಈ ವಿಷಯ ಭಾರ್ ಲೇಜೋ.|ಈ ವಿಷಯವನ್ನು ಹೊರಗೆ ತೆಗೆದುಕೊಳ್ಳಿ
please read this now|ವಿನತಿ ಕರುಚು ಅಬ್ಬೆ ಏನ್ ಓದೋ.|ವಿನತಿ ಕರುಚು ಅಬ್ಬೆ ಓದೋ.|ದಯವಿಟ್ಟು ಈಗಲೇ ಇದನ್ನು ಓದಿ
mohan has one cycle|ಮೋಹನೇರ ಧಾಯೀ ಏಕ ಸೈಕಲ್ ಚ|ಮೋಹನ್ ಏಕ್ ಸೈಕಲ್ ಚ.|ಮೋಹನನ ಹತ್ತಿರ ಒಂದು ಸೈಕಲ್ ಇದೆ
ask ram again later|ರಾಮೇನ ಲಾರ್ತಿ ಅಜಿ ಏಕ ಸಲಾ ಪುಚ.|ರಾಮ ಅಜಿ ಏಕ್ ಸಲಾ ಪುಚೊ.|ನಂತರ ಮತ್ತೆ ರಾಮನನ್ನು ಕೇಳಿ
ram called me now|ರಾಮ್ ಅಬ್ಬೆ ಮನ್ ಫೋನ್ ಲಗಾಡೋಚ.|ರಾಮ ಮನ ಅಬ್ ಬಲಾಯಿ ಚ.|ರಾಮ್ ಈಗ ನನಗೆ ಕರೆ ಮಾಡಿದ
ram wants good results|ರಾಮ ಆಚೊ ಪರಿಣಾಮ ಚಾವಚ|ರಾಮೇನ ಆಚೊ ಫಳ ಚಾವಚ|ರಾಮನಿಗೆ ಒಳ್ಳೆಯ ಫಲಿತಾಂಶ ಬೇಕು
ram read the news|ರಾಮ ಸುದ್ದಿ ವೊದೋ|ರಾಮ ಸುದ್ದಿ ಸಾಮಳೋ.|ರಾಮ್ ಸುದ್ದಿ ವಾಚಿಸಿದರು
nothing else is there|ವತ ಅಜಿ ದೂಸರ್ ಕಾಂಯಿ ಛೆನಿ.|ಅಜಿ ದೂಸರ್ ಕಾಂಯಿ ಛೆನಿ.|ಅಲ್ಲಿ ಬೇರೇನೂ ಇಲ್ಲ
this area is cold|ಈ ಜಾಗ ಥಂಡಾ ಚ.|ಈ ಜಾಗಾ ಥಂಡಾ ಚ.|ಈ ಪ್ರದೇಶ ತಂಪಾಗಿದೆ
i have seen it|ಮ ವೊನ್ ದೀತೋ ಚು.|ಮ ಏನ್ ದಿಟೋಚು.|ನಾನು ಅದನ್ನು ಸರಿಯಾಗಿ ನೋಡಿದ್ದೇನೆ .
i study at school|ಮ ಸಾಲೀಮ ವೋದುಚು.|ಮ ಸಾಲೀಮ ವೊದೋಚು.|ನಾನು ಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತೇನೆ
