lambani_source|kannada_target|kannada_predicted
ಸಫಲತಾ ತಮಾರ್ ಚ .|ಯಶಸ್ಸು ನಿಮ್ಮದೇ .|ಯಶಸ್ವಿಯಾಗಲು ನಿಮ್ಮದು .
ಈ ಘಣ ಮೊಟಚ .|ಇದು ತುಂಬಾ ದೊಡ್ಡದು .|ಇದು ಬಹಳ ದೊಡ್ಡದು .
ವನೂರ್ ಆರೋಗ್ಯ ಠೀಕ್ ಛೆನೀ .|ಅವರ ಆರೋಗ್ಯ ಸರಿಯಿಲ್ಲ .|ಅವರ ಆರೋಗ್ಯ ಚೆನ್ನಾಗಿಲ್ಲ .
ಓನ್ ಸರ್ಕಾರ್ ನಿರ್ಧಾರ್ ಕರಣು .|ಅದನ್ನು ಸರ್ಕಾರ ನಿರ್ಧರಿಸಬೇಕು .|ಅದನ್ನು ಸರಕಾರ ನಿರ್ಧರಿಸಬೇಕು .
ಪವಾಡ ವಚ .|ಪವಾಡಗಳು ಸಂಭವಿಸುತ್ತವೆ .|ಪವಾಡಗಳು ಬೀಳುತ್ತವೆ .
ಪಣ ವು ಮತ್ ಕೆ .|ಆದರೆ ಅವರು ಇಲ್ಲ ಎಂದು ಹೇಳಿದರು .|ಆದರೆ ಅವರು ನಿರಾಕರಿಸಿದರು .
ತು ಶಾಂತ ರೇಣು .|ನೀವು ಶಾಂತವಾಗಿ ಉಳಿಯಬೇಕು .|ನೀವು ಶಾಂತವಾಗಿರಬೇಕು .
ತು ಮೂರ್ಖ ವೇಣು .|ನೀವು ಮೂರ್ಖರಾಗಿರಬೇಕು .|ನೀವು ಮೂರ್ಖ .
ಮನ್ ಉ ಘಣ ಚಾಯೆ .|ನನಗೆ ಅದು ತೀರಾ ಬೇಕು .|ನನಗೆ ಅದು ಸಾಕಷ್ಟು ಬೇಕು .
ವೊ ಸಮಾನ್ ಛೆನಿ .|ಅವರು ಸಮಾನರಲ್ಲ .|ಅವರು ಸಮಾನ ಅಲ್ಲ .
ಏಕಜ ವಣಾ ಮಕುಚು .|ಒಮ್ಮೆ ಮಾತ್ರ ನಾನು ಹೇಳುತ್ತೇನೆ .|ಒಮ್ಮೆ ನಾನು ಹೇಳುತ್ತೇನೆ .
ಮ ಸ್ವಾರ್ಥಿ ಕಾವ .|ನಾನು ಸ್ವಾರ್ಥಿಯಲ್ಲ .|ನಾನು ತುಂಬಾ ಸ್ವಾರ್ಥಿ ಅಲ್ಲ .
ರಾಮ್ ಖುಶೀತಿ ಓದಚ .|ರಾಮ ಸಂತೋಷಕ್ಕಾಗಿ ಓದುತ್ತಾನೆ .|ರಾಮ್ ಸಂತೋಷದಿಂದ ಓದುತ್ತಾನೆ .
ಕೃಪಯಾ ವೊನ ಬಲಾವೊಚೊ ?|ದಯವಿಟ್ಟು ಅವನನ್ನು ಕರೆಯುತ್ತೀರಾ .|ದಯವಿಟ್ಟು ಅವನನ್ನು ಕರೆಯುತ್ತೀರಾ ?
ಮ ಜಿಗಲಾ ಕಾಡರೊಚು .|ನಾನು ಬಟ್ಟೆ ಬಿಚ್ಚುತ್ತಿದ್ದೇನೆ .|ನಾನು ಅಂಗಿಯನ್ನು ತೆಗೆಯುತ್ತಿದ್ದೇನೆ .
ತಮೆನ್ ವತ್ತ ಜಾಯೇನ್ ವೆನಿ .|ನೀವು ಅಲ್ಲಿಗೆ ಹೋಗಲು ಸಾಧ್ಯವಿಲ್ಲ .|ನೀವು ಅಲ್ಲಿಗೆ ಹೋಗಲು ಸಾಧ್ಯವಿಲ್ಲ .
ಹಮೆನ್ ಕತ್ರಾಕೋ ಅವಕಾಶ ಚ .|ನಮಗೆ ಅನೇಕ ಅವಕಾಶಗಳಿವೆ .|ನಮಗೆ ಹಲವಾರು ಅವಕಾಶಗಳಿವೆ .
ಈ ಕನ್ನಾಯಿಭಿ ಕಾಮ್ ಕರಚ್ .|ಇದು ಯಾವಾಗಲೂ ಕೆಲಸ ಮಾಡುತ್ತದೆ .|ಇದು ಯಾವಾಗಲೂ ಕೆಲಸ ಮಾಡುತ್ತದೆ .
ಏನ್ ಸೆ ಪ್ರತಿಭಟನೆ ಕರಣು .|ಇದನ್ನು ಎಲ್ಲರೂ ಪ್ರತಿಭಟಿಸಬೇಕು .|ಇದನ್ನು ಎಲ್ಲ ಪ್ರತಿಭಟಿಸಬೇಕು .
ಛೋರಾನ ಕಾ೦ಯೀತೊಯೀ ಚಾಯೆ .|ಹುಡುಗನಿಗೆ ಏನಾದರೂ ಬೇಕು .|ಹುಡುಗನಿಗೆ ಏನಾದರೂ ಬೇಕು .
ಅಜಿ ದಸೆಕ್ ಆಂಗ್ ಜಾವಚ .|ಇನ್ನು ಕೆಲವರು ಮುಂದೆ ಹೋಗುತ್ತಾರೆ .|ಇನ್ನೂ ಕೆಲವು ಮುಂದೆ ಹೋಗುತ್ತದೆ .
ಮನ್ ಠೀಕ್ ಮಾಲಮ್ ಛೆನಿ .|ನನಗೆ ನಿಖರವಾಗಿ ಗೊತ್ತಿಲ್ಲ .|ನನಗೆ ಚೆನ್ನಾಗಿ ಗೊತ್ತಿಲ್ಲ .
ಮ ಓನ್ ಖುಶೀತಿ ಕರುಚು .|ನಾನು ಅದನ್ನು ಸಂತೋಷದಿಂದ ಮಾಡುತ್ತೇನೆ .|ನಾನು ಅದನ್ನು ಸಂತೋಷಪಡುತ್ತೇನೆ .
ಮ ಡಾಕ್ಟರ್ ವು ಕಾ೦ಯೀ ?|ನಾನು ವೈದ್ಯನಾಗಬಹುದೇ ?|ನಾನು ವೈದ್ಯಳೇ ?
ಪಣ ಬರೆ ವಾತೆ ವೇತ್ತಿ .|ಆದರೆ ಮಾತು ಮಾತ್ರ ಇತ್ತು .|ಆದರೆ ಮಾತ್ರ ಮಾತನಾಡಬೇಕಿತ್ತು .
ಹಮೆನ್ ಕತ್ರಾ ಟೈಮ್ ಛ .|ನಮಗೆ ಎಷ್ಟು ಸಮಯವಿದೆ ?|ನಮಗೆ ಎಷ್ಟು ಸಮಯ ಇದೆ ?
ಮ ತಾರ್ ಸಾರು ಕಿದಿಚು .|ನಾನು ನಿನಗಾಗಿ ಮಾಡಿದ್ದೇನೆ .|ನಾನು ನಿನಗಾಗಿ ಮಾಡಿದೆ .
ಉ ಕಾಮ್ ಸರಳ ವೇತ್ತಿ .|ಆ ಕೆಲಸ ಸುಲಭವಾಗಿತ್ತು .|ಅದು ಸುಲಭದ ಕೆಲಸವಾಗಿತ್ತು .
ಮ ಯಾತ್ರಾ ಕರುಚು .|ನಾನು ಪ್ರಯಾಣ ಮಾಡಲಿದ್ದೇನೆ .|ನಾನು ಪ್ರಯಾಣಿಸುತ್ತೇನೆ .
ಸಕ್ಕರ್ ದಸೆಕ್ ಖಾಣು .|ಸಕ್ಕರೆಯನ್ನು ಪ್ರಜ್ಞಾಪೂರ್ವಕವಾಗಿ ತೆಗೆದುಕೊಳ್ಳಬೇಕು .|ಸಕ್ಕರೆ ಸ್ವಲ್ಪ ತಿನ್ನಬೇಕು .
ಜಗತ್ತೇಮ ಶಾಂತಿ ರೇಣು .|ಜಗತ್ತಿನಲ್ಲಿ ಶಾಂತಿ ನೆಲೆಸಬೇಕು .|ಜಗತ್ತಿನಲ್ಲಿ ಶಾಂತಿ ಇರಬೇಕು .
ಆಚೆ ಗುಣಾ ರೇಣು .|ಒಳ್ಳೆಯ ಗುಣಗಳನ್ನು ಬೆಳೆಸಿಕೊಳ್ಳಬೇಕು .|ಒಳ್ಳೆಯ ಗುಣಗಳನ್ನು ಹೊಂದಿರಬೇಕು .
ಮಾರ್ ಏಕ್ ಬೇಟಿ ಛ .|ನನಗೊಂದು ಉಪಕಾರ ಬೇಕು .|ನನಗೆ ಒಬ್ಬ ಮಗಳಿದ್ದಾಳೆ .
ವೊ ಸೆ ಏಕಜ ಚ .|ಅವರೆಲ್ಲಾ ಒಂದೇ .|ಅವರೆಲ್ಲರೂ ಒಂದೇ .
ವೊನ್ ಅಜಿ ಅರಾಮ್ ಛೆನಿ .|ಅವನಿಗೆ ಇನ್ನೂ ಹುಷಾರಾಗಿಲ್ಲ .|ಅವಳಿಗೆ ಇನ್ನೂ ಹುಷಾರಿಲ್ಲ .
ವು ಕಾಂಯಿ ಉತ್ತರ ದಚ ?|ಅವನು ಏನು ಉತ್ತರಿಸುವನು ?|ಅವಳು ಏನು ಉತ್ತರಿಸುತ್ತಾಳೆ ?
ವು ಘಣ್ ಮಜಾ ಕರ್ರಿಚ .|ಅವಳು ತುಂಬಾ ಮೋಜು ಮಾಡುತ್ತಿದ್ದಾಳೆ .|ಅವಳು ತುಂಬಾ ಮೋಜು ಮಾಡುತ್ತಿದ್ದಾಳೆ !
ಮ ಕಮ್ ಕಾಳಜಿ ಕರುನಿ .|ನಾನು ಕಡಿಮೆ ಕಾಳಜಿ ವಹಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ .|ನನಗೆ ಕಡಿಮೆ ಕಾಳಜಿ ಇಲ್ಲ .
ಮುಂಡೇಮ್ ಲೋಯಿ ಆರಿಚ .|ಬಾಯಿಯಲ್ಲಿ ರಕ್ತ ಬರುತ್ತಿದೆ .|ಬಾಯಿನಲ್ಲಿ ರಕ್ತವಿದೆ .
ಘರೇರ್ ಭಾರ ಹುಬರೋ .|ಕಟ್ಟಡದ ಹೊರಗೆ ಕಾಯಿರಿ .|ಮನೆಯ ಹೊರಗೆ ಕಾಯಿರಿ .
ತಾರ್ ಮುಂಡೊ ಫಾಡ್ .|ನಿಮ್ಮ ಬಾಯಿ ತೆರೆಯಿರಿ !|ನಿನ್ನ ಬಾಯಿ ಹರಿದು .
ಅವಕಾಶ ಓ ಕುಣಸ್ ಛ ?|ಅವಕಾಶಗಳು ಯಾವುವು ?|ಅವಕಾಶಗಳು ಯಾವುವು ?
ವು ವಾಟೆಪರ್ ರಚ .|ಅವಳು ಬೀದಿಗಳಲ್ಲಿ ವಾಸಿಸುತ್ತಾಳೆ .|ಬೀದಿಯಲ್ಲಿ ಅದು ವಾಸಿಸುತ್ತದೆ .
ತು ನಿಯಮ ತೊಡೋ .|ನೀವು ನಿಯಮವನ್ನು ಮುರಿದಿದ್ದೀರಿ .|ನೀವು ನಿಯಮಗಳನ್ನು ಮುರಿಯಿರಿ .
ವು ಎಕ್ಲಿ ರಚ .|ಅವಳು ಸ್ವಂತವಾಗಿ ಬದುಕುತ್ತಾಳೆ .|ಅವಳು ಒಬ್ಬಂಟಿ ಇರುತ್ತಾಳೆ .
ವೊ ಖರೆ ಕೇಣು .|ಅವರು ಸತ್ಯವನ್ನೇ ಮಾತನಾಡಬೇಕು .|ಅವರು ಸತ್ಯವನ್ನು ಹೇಳಬೇಕು .
ಲಾಜ್ ಕರಮತ್ .|ನಾಚಿಕೆ ಪಡಬೇಡಿ .|ನಾಚಿಕೆಯಾಗಬೇಡಿ .
ಲಾರ್ತಿ ವೊರ್ ವಾಯಾ ವೇಗೋ .|ನಂತರ ಅವಳು ಮದುವೆಯಾದಳು .|ನಂತರ ಅವರ ಮದುವೆ ನಡೆಯಿತು .
ಹಮಾರ್ ನಾಣಕಿ ಪಕ್ಷ ಛ .|ನಮ್ಮದು ಚಿಕ್ಕ ಪಕ್ಷ .|ನಮ್ಮದು ಚಿಕ್ಕ ಪಕ್ಷವಿದೆ .
ಝಾಡೇವನುನ್ ಕಾಟನಾಕೇಚ .|ಮರಗಳನ್ನು ಕತ್ತರಿಸಲಾಗಿತ್ತು .|ಮರಗಳನ್ನು ಕತ್ತರಿಸಲಾಗಿದೆ .
ಅತ್ ಜೋರ್ ಪಾಣಿ ಪಡಚ .|ಇಲ್ಲಿ ಭಾರೀ ಮಳೆಯಾಗುತ್ತದೆ .|ಇಲ್ಲಿ ಭಾರೀ ಮಳೆ ಬೀಳುತ್ತದೆ .
ತು ಆಜ ಕಾಂಯಿ ಕಿದೋ ?|ನೀವು ಇಂದು ಏನು ಮಾಡಿದ್ದೀರಿ ?|ನೀವು ಇಂದು ಏನು ಮಾಡಿದೆ ?
ಅಜೆಕ್ ದಾಡ ದರಗೀಚ .|ಇನ್ನೊಂದು ದಿನ ಕಳೆಯಿತು .|ಇನ್ನೊಂದು ದಿನ ಹೊರಟು ಹೋಗಿದೆ .
ದೆಕೇರ್ ಘಣ ವೇತ್ತಿ .|ನೋಡಲು ತುಂಬಾ ಇತ್ತು .|ನೋಡುವುದೇ ತುಂಬಾ ಇತ್ತು .
ಇಜ್ ಠೀಕ್ ಚ .|ನಿಖರವಾಗಿ ಅದು ಏನು ?|ಇದೇ ಚೆನ್ನಾಗಿದೆ .
ಮ ಸೋತುನಿ .|ನಾನು ಸೋಲುವುದಿಲ್ಲ !|ನಾನು ಮಲಗುವುದಿಲ್ಲ .
ಈ ಔಷಧ ಲ .|ಈ ಔಷಧಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ .|ಈ ಔಷಧಿ ತೆಗೆದುಕೊಳ್ಳಿ .
ಓನ್ ಛಿಜಿಯಾಪರ್ ವೆತ್ತೆಕೋನಿ .|ಅವನಿಗೆ ಮಕ್ಕಳಿರಲಿಲ್ಲ .|ಆಕೆಗೆ ಮಕ್ಕಳು ಇರಲಿಲ್ಲ .
ಪ್ರಮುಖ ಸಮಸ್ಯೆ ಕತೋ ಪಾಣಿ .|ಪ್ರಮುಖ ಸಮಸ್ಯೆ ನೀರು .|ಪ್ರಮುಖ ಸಮಸ್ಯೆಗಳು ನೀರು .
ವ್ಯವಸ್ಥೆ ಬದ್ಲಿ ವೇಣು .|ವ್ಯವಸ್ಥೆ ಬದಲಾಗಬೇಕು .|ವ್ಯವಸ್ಥೆ ಬದಲಾಗಬೇಕು .
ಓನ್ ಹಾನಿ ಹುಯಿಕೊಂತಿ .|ಅದಕ್ಕೆ ಹಾನಿಯಾಗಿಲ್ಲ .|ಅವನಿಗೆ ಹೌಿಲ್ಲ .
ವು ಮಾಂದೊ ಪುಸ್ತಕ್ ಚ .|ಅದೊಂದು ಕೆಟ್ಟ ಪುಸ್ತಕ .|ಅದು ಕೆಟ್ಟ ಪುಸ್ತಕ .
ಏನ್ ಕಾರಣ್ ಕಾ೦ಯೀ ಛ ?|ಇದಕ್ಕೆ ಕಾರಣವೇನು ?|ಇದಕ್ಕೆ ಕಾರಣವೇನು ?
ಪಿಚ್ಚರೇರ್ ಸಾಕಿ ಚ .|ಚಿತ್ರದ ಕಥೆ .|ಚಿತ್ರದ ಕಥೆ .
ಮ ಜಲ್ದಿ ವಾಯಾ ಕರನು .|ನಾನು ಬೇಗ ಮದುವೆಯಾಗಬೇಕು .|ನಾನು ಬೇಗ ಮದುವೆಯಾಗಬೇಕು .
ಈ ವೊರ್ ನಾಯಿ ಕಾವ .|ಇದು ಅದೇ ಅಲ್ಲ .|ಇದು ಅವನಂತೆ ಅಲ್ಲ .
ಉ ಅಜಿ ಆಯೆಕೊಂತಿ .|ಅವನು ಇನ್ನೂ ಬಂದಿಲ್ಲ .|ಅವನು ಇನ್ನೂ ಬಂದಿಲ್ಲ .
ಉ ಕತ್ರಾ ಲಾರ್ ಛ .|ಅದು ಎಷ್ಟು ಹಿಂದೆ ?|ಅದು ಎಷ್ಟು ಹಿಂದೆ ?
ರಾಮ ಡ್ರೈವರ್ ಚ .|ರಾಮ್ ಚಾಲಕ .|ರಾಮ್ ಚಾಲಕ .
ವತ್ತ ಜಾವೊಮತ್ .|ಅಲ್ಲಿಗೆ ಹೋಗಬೇಡಿ .|ಅಲ್ಲಿಗೆ ಹೋಗಬೇಡಿ .
ಈ ಘಣ ದುರ್ ಛ .|ಇದು ದೂರದಲ್ಲಿದೆ .|ಇದು ಬಹಳ ದೂರ .
ಲೇಖಕ ಕುಣ ಚ ?|ಲೇಖಕರು ಯಾರು ?|ಲೇಖಕ ಯಾರು ?
ಓ ಘರೇಮ್ ಛ .|ಅವರು ಮನೆಯಲ್ಲಿದ್ದಾರೆ .|ಅವರು ಮನೆಯೊಳಗಿದ್ದಾರೆ .
ಸಮಸ್ಯೆ ತೊ ಕಾಯಿ ಛ ?|ಸಮಸ್ಯೆ ಏನು ?|ಸಮಸ್ಯೆ ಏನು ?
ಇ ವೊನ ಘಣ್ ಚ .|ಅವನಿಗೆ ಇದು ಸಾಕು .|ಇದು ಅವರಿಗೆ ಸಾಕಷ್ಟು ಪ್ರಮಾಣವಿದೆ .
ಮ ಚಾ ಪಿರೋಚು .|ನಾನು ಚಹಾ ಕುಡಿಯುತ್ತಿದ್ದೇನೆ .|ನಾನು ಚಹಾ ಕುಡಿಯುತ್ತಿದ್ದೇನೆ .
ಮ ಠೀಕ್ ವಾತೆ ಕರುನಿ .|ನಾನು ಚೆನ್ನಾಗಿ ಮಾತನಾಡುವುದಿಲ್ಲ .|ನಾನು ಸರಿಯಾಗಿ ಮಾತನಾಡುವುದಿಲ್ಲ .
ವೊ ಹಮೇನ್ ಲಬಾಡಿ ಕೆ .|ಅವರು ನಮಗೆ ಸುಳ್ಳು ಹೇಳಿದರು .|ಅವರು ನಮಗೆ ಸುಳ್ಳು ಎಂದರು .
ಸೀತಾ ಮಾರ್ ಬೇಟಿ ಚ .|ಸೀತೆ ನನ್ನ ಮಗಳು .|ಸೀತೆ ನನ್ನ ಮಗಳಿದ್ದಾಳೆ .
ತು ಕಾಂಯಿ ಪಿಯೆಚಿ ?|ನೀವು ಏನು ಕುಡಿಯುತ್ತೀರಿ ?|ನೀವು ಏನು ಕುಡಿಯುತ್ತೀರಿ ?
ಇ ಸಮಸ್ಯೆ ಸರಳ್ ಚ .|ಈ ಸಮಸ್ಯೆ ಸರಳವಾಗಿದೆ .|ಇದು ಸಮಸ್ಯೆ ಸರಳವಾಗಿದೆ .
ಓರ್ ನಾಮ್ ಕಾ೦ಯೀಚ ?|ಅವಳ ಹೆಸರೇನು ?|ಅವನ ಹೆಸರೇನು ?
ತೀನ್ ಕ್ಷೇತ್ರೇಮ .|ಮೂರು ಕ್ಷೇತ್ರಗಳಲ್ಲಿ .|ಮೂರು ಪ್ರದೇಶಗಳಲ್ಲಿ .
ತಮ್ ಕಾ ವೊದರೆಚೊ ?|ನೀವು ಯಾಕೆ ಓದುತ್ತಿದ್ದೀರಿ ?|ನೀವೇಕೆ ಓದುತ್ತಿದ್ದೀಯ ?
ಮ ದಸೆಕ್ ರೋರಿತಿ .|ನಾನು ಸ್ವಲ್ಪ ಅಳುತ್ತಿದ್ದೆ .|ನಾನು ಸ್ವಲ್ಪ ಅಳುತ್ತಿದ್ದೆ .
ಕೃಪಯಾ ವು ಲಕ್ಕ .|ದಯವಿಟ್ಟು ಅದನ್ನು ಬರೆಯಿರಿ .|ದಯವಿಟ್ಟು ಅವರು ಬರೆಯಿರಿ .
ಉ ಸಮಸ್ಯೆ ಕಾವ್ .|ಅದು ಸಮಸ್ಯೆಯೇ ಅಲ್ಲ .|ಅದು ಸಮಸ್ಯೆ ಕಾವ್ .
ಛೋರಿ ಹೇಟ ಪಡಗಿ .|ಹುಡುಗಿ ಕೆಳಗೆ ಬಿದ್ದಳು .|ಹುಡುಗಿ ಕೆಳಗೆ ಬಿದ್ದಳು .
ಪಾಣಿ ಜೋರ್ ಪಡೋ .|ಜೋರಾಗಿ ಮಳೆ ಸುರಿಯಿತು .|ಮಳೆ ಜೋರಾಗಿ ಸುರಿಯಿತು .
ಮ ಅಬ್ ಖಾರೊಚು .|ನಾನು ಈಗ ತಿನ್ನುತ್ತಿದ್ದೇನೆ .|ನಾನೀಗ ತಿನ್ನುತ್ತಿದ್ದೇನೆ .
ಇತಿಹಾಸೇರ ಏಳಿ .|ಇತಿಹಾಸದ ಎಳೆ .|ಇತಿಹಾಸ ಎಲ್ಲರ .
ಹಮ್ ಘಣ್ ಚಾಲೆ .|ನಾವು ಬಹಳಷ್ಟು ನಡೆದೆವು .|ನಾವು ಬಹಳ ನಡೆಯಿದ್ದೇವೆ .
ಅಜಿ ಕುಣ ಆರೋಚ ?|ಇನ್ನು ಯಾರು ಬರುತ್ತಿದ್ದಾರೆ ?|ಬೇರೆ ಯಾರು ಬರುತ್ತಿದ್ದಾರೆ ?
ಸಾಮಳೆನ್ ಠೀಕ್ ಚ .|ಕೇಳಲು ಪರವಾಗಿಲ್ಲ .|ಕೇಳಲು ಚೆನ್ನಾಗಿದೆ .
ಅನ್ ಈ ಬಾಯಿಗೋಳೆ ?|ಮತ್ತು ಈ ಮಹಿಳೆ ?|ಮತ್ತು ಇದು ಮಹಿಳೆಯರು ?
ವತ್ ಫೇಲ್ ವೇಗಿ .|ಅಲ್ಲಿ ವಿಫಲವಾಯಿತು .|ಅಲ್ಲಿ ವಿಫಲವಾಯಿತು .
ಮ ಕಾಮ ಕರುಚು .|ನಾನು ಕೆಲಸ ಮಾಡುತ್ತೇನೆ .|ನಾನು ಕೆಲಸ ಮಾಡುತ್ತೇನೆ .
ಓ ಹೊಟೊ ಆಯೇಚ .|ಅವರು ಹಿಂತಿರುಗಿದ್ದಾರೆ .|ಅವರು ಹಿಂತಿರುಗಿದರು .
ದಸೆಕ್ ವಾಳ ಚ .|ಸ್ವಲ್ಪ ಗಾಳಿ ಇದೆ .|ಸ್ವಲ್ಪ ಗಾಳಿ ಇದ್ದಾರೆ .
ರಾತ್ ಆವುಚು .|ರಾತ್ರಿ ಬರುತ್ತೇನೆ .|ರಾತ್ರಿ ಬರುತ್ತೇನೆ .
ಈ ಹಮಾರ್ ಛ .|ಇದು ನಮ್ಮದು !|ಇದು ನಮ್ಮದು .
ಮ ಗೆದ್ದಣು .|ನಾನು ಗೆಲ್ಲಬೇಕು .|ನಾನು ಗೆಲ್ಲಬೇಕು .
ಟೈಮ್ ಕತ್ರಾ ವೇಗಿಚ .|ಸಮಯ ಏನು ?|ಸಮಯ ಎಷ್ಟು ?
ಈ ಸಾಧ್ಯ ಛೆನಿ .|ಇದು ಸಾಧ್ಯವಿಲ್ಲ .|ಇದು ಸಾಧ್ಯವಿಲ್ಲ .
ಹಯಿ ಏಕೋನಿ .|ಆಗಲಿಲ್ಲ .|ಹಾಗೆ ಮಾಡಲಿಲ್ಲ .
ಈ ಕನ್ನಾ ವೇ ?|ಇದು ಯಾವಾಗ ಸಂಭವಿಸಿತು ?|ಇದು ಯಾವಾಗ ಆಯಿತು ?
ಏ ಸೇಜ ಚಾವಚ್ .|ಇವೆಲ್ಲ ಬೇಕು .|ಇದೆಲ್ಲವೂ ಅತ್ಯಗತ್ಯ .
ವೊ ಸವಾರ್ ಆವಚ .|ಅವರು ನಾಳೆ ಬರುತ್ತಾರೆ .|ಅವರು ನಾಳೆ ಬರುತ್ತಾರೆ .
ನಿಕಾಣಿ ವು ಪಡಚ .|ಇಲ್ಲದಿದ್ದರೆ ಬೀಳುತ್ತದೆ .|ಇಲ್ಲದಿದ್ದರೆ ಅವನು ಬೀಳುತ್ತದೆ .
ವು ಲಬಾಡಿ ಕೇನಿ .|ಅವರು ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ .|ಅವನು ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ .
ಏಕ್ ಮಾಣಸ್ ಜಾಣು .|ಒಬ್ಬರು ಹೋಗಬೇಕಾಗಿತ್ತು .|ಒಬ್ಬ ವ್ಯಕ್ತಿ ಹೋಗಬೇಕು .
ತಮ್ ಜಲ್ದಿ ಖಾಣು .|ನೀವು ಬೇಗನೆ ತಿನ್ನಬೇಕು .|ನೀವು ಬೇಗ ತಿನ್ನಬೇಕು .
ತಮೆನ್ ಅವಕಾಶ ಛೆಯೀ .|ನಿಮಗೆ ಯಾವುದೇ ಅವಕಾಶವಿಲ್ಲ .|ನಿಮಗೆ ಅವಕಾಶವಿಲ್ಲ .
ಯಾಡಿ ಘರೆಮ್ ವೇತ್ತಿ .|ಮನೆಯಲ್ಲಿ ತಾಯಿ ಇದ್ದರು .|ತಾಯಿ ಮನೆಯಲ್ಲಿದ್ದರು .
ಚಾಟ್ ಕರಾ .|ನಾವು ಚಾಟ್ ಮಾಡೋಣ .|ನಡೆಯೋಣ .
ಸಂಶಾ ವೇತ್ತಿ .|ಅನುಮಾನಾಸ್ಪದವಿದ್ದರು .|ಅನುಮಾನ ಇತ್ತು .
ಉ ಹುಯಿಕೋನಿ .|ಅದು ಆಗಲಿಲ್ಲ .|ಅದು ಆಗಲಿಲ್ಲ .
ವೊನ ಖಚಿತ ಕರಲೇಣು .|ಅದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು .|ಅದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು .
ಈ ಕಾಂಯಿ ಚಿಂತ್ಯಾರ ವಾತ್ ಕಾವ .|ಇದು ಕಾಳಜಿ ಅಲ್ಲ .|ಇದು ಏನು ಚಿಂತೆಯಲ್ಲ .
ಈ ತಮಾರ್ನಾಯಿಚ .|ಅದು ನಿಮ್ಮ ಹಾಗಿದೆ .|ಇದು ತಜ್ಞಾನ .
ಘಣ್ ವ್ಯತ್ಯಾಸ ಚ .|ಹಲವಾರು ವ್ಯತ್ಯಾಸಗಳಿವೆ .|ಸಾಕಷ್ಟು ವ್ಯತ್ಯಾಸಗಳಿವೆ .
ವು ಟೇಬಲೇರ್ ಹೆಟ್ ಚ .|ಇದು ಮೇಜಿನ ಕೆಳಗೆ ಇದೆ .|ಅವಳು ಮೇಜಿನ ಕೆಳಗೆ ಇದ್ದಾಳೆ .
